headline,link,neighborhoods,author,date,excerpt,latitude,longitude
"Swimmers Return To Chicago River For 1st Time In A Century, Marking Waterway’s Dramatic Transformation",https://blockclubchicago.org/2025/09/21/swimmers-return-to-chicago-river-for-1st-time-in-a-century-the-river-is-so-clean/,Downtown,by Reema Saleh,"September 20, 2025",Hundreds of swimmers dove into the Chicago River Sunday to raise money for ALS research and highlight the river’s rebound after years of pollution and unsafe conditions.,41.8816746,-87.6321072
"Swimmers Return To Chicago River For 1st Time In A Century, Marking Waterway’s Dramatic Transformation",https://blockclubchicago.org/2025/09/21/swimmers-return-to-chicago-river-for-1st-time-in-a-century-the-river-is-so-clean/,Citywide,by Reema Saleh,"September 20, 2025",Hundreds of swimmers dove into the Chicago River Sunday to raise money for ALS research and highlight the river’s rebound after years of pollution and unsafe conditions.,41.9601972,-87.7796188
"Swimmers Return To Chicago River For 1st Time In A Century, Marking Waterway’s Dramatic Transformation",https://blockclubchicago.org/2025/09/21/swimmers-return-to-chicago-river-for-1st-time-in-a-century-the-river-is-so-clean/,Jefferson Park,by Reema Saleh,"September 20, 2025",Hundreds of swimmers dove into the Chicago River Sunday to raise money for ALS research and highlight the river’s rebound after years of pollution and unsafe conditions.,41.9706399,-87.760826
"Swimmers Return To Chicago River For 1st Time In A Century, Marking Waterway’s Dramatic Transformation",https://blockclubchicago.org/2025/09/21/swimmers-return-to-chicago-river-for-1st-time-in-a-century-the-river-is-so-clean/,Portage Park,by Reema Saleh,"September 20, 2025",Hundreds of swimmers dove into the Chicago River Sunday to raise money for ALS research and highlight the river’s rebound after years of pollution and unsafe conditions.,41.9596707,-87.7475079
"Swimmers Return To Chicago River For 1st Time In A Century, Marking Waterway’s Dramatic Transformation",https://blockclubchicago.org/2025/09/21/swimmers-return-to-chicago-river-for-1st-time-in-a-century-the-river-is-so-clean/,Norwood Park,by Reema Saleh,"September 20, 2025",Hundreds of swimmers dove into the Chicago River Sunday to raise money for ALS research and highlight the river’s rebound after years of pollution and unsafe conditions.,41.9819267,-87.8068915
"Swimmers Return To Chicago River For 1st Time In A Century, Marking Waterway’s Dramatic Transformation",https://blockclubchicago.org/2025/09/21/swimmers-return-to-chicago-river-for-1st-time-in-a-century-the-river-is-so-clean/,Arts & Culture,by Reema Saleh,"September 20, 2025",Hundreds of swimmers dove into the Chicago River Sunday to raise money for ALS research and highlight the river’s rebound after years of pollution and unsafe conditions.,41.9023107,-87.703187
"Swimmers Return To Chicago River For 1st Time In A Century, Marking Waterway’s Dramatic Transformation",https://blockclubchicago.org/2025/09/21/swimmers-return-to-chicago-river-for-1st-time-in-a-century-the-river-is-so-clean/,Jefferson Park,by Reema Saleh,"September 20, 2025",Hundreds of swimmers dove into the Chicago River Sunday to raise money for ALS research and highlight the river’s rebound after years of pollution and unsafe conditions.,41.9706399,-87.760826
"Swimmers Return To Chicago River For 1st Time In A Century, Marking Waterway’s Dramatic Transformation",https://blockclubchicago.org/2025/09/21/swimmers-return-to-chicago-river-for-1st-time-in-a-century-the-river-is-so-clean/,Portage Park,by Reema Saleh,"September 20, 2025",Hundreds of swimmers dove into the Chicago River Sunday to raise money for ALS research and highlight the river’s rebound after years of pollution and unsafe conditions.,41.9596707,-87.7475079
"Swimmers Return To Chicago River For 1st Time In A Century, Marking Waterway’s Dramatic Transformation",https://blockclubchicago.org/2025/09/21/swimmers-return-to-chicago-river-for-1st-time-in-a-century-the-river-is-so-clean/,Norwood Park,by Reema Saleh,"September 20, 2025",Hundreds of swimmers dove into the Chicago River Sunday to raise money for ALS research and highlight the river’s rebound after years of pollution and unsafe conditions.,41.9819267,-87.8068915
"10 Protesters Released After Facing ‘Shocking Violence,’ Arrest By Federal Agents In Broadview",https://blockclubchicago.org/2025/09/20/10-protesters-released-after-facing-shocking-violence-arrest-by-federal-agents-in-broadview/,Citywide,by Charles Thrush,NA,NA,41.9601972,-87.7796188
